run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario1-135-20250707-22:31:56-966701,56512243.0,8219962.618181818,8.219962618181818
Scenario1-136-20250707-22:31:57-966706,56332529.0,8193822.4,8.1938224
Scenario1-137-20250707-22:31:57-966711,56514123.0,8220236.072727272,8.220236072727273
Scenario1-138-20250707-22:31:57-966712,56465909.0,8213223.127272727,8.213223127272727
Scenario1-139-20250707-22:31:58-966732,56491184.0,8216899.490909091,8.21689949090909
Scenario1-121-20250707-22:31:52-966599,56465478.0,8213160.4363636365,8.213160436363637
Scenario1-122-20250707-22:31:52-966608,56543244.0,8224471.8545454545,8.224471854545454
Scenario1-123-20250707-22:31:53-966613,56356864.0,8197362.036363636,8.197362036363636
Scenario1-124-20250707-22:31:53-966618,56403787.0,8204187.2,8.2041872
Scenario1-125-20250707-22:31:53-966623,56403987.0,8204216.290909091,8.204216290909091
Scenario1-126-20250707-22:31:53-966628,56469755.0,8213782.545454546,8.213782545454546
Scenario1-127-20250707-22:31:54-966647,56431384.0,8208201.30909091,8.20820130909091
Scenario1-128-20250707-22:31:55-966652,56345864.0,8195762.036363636,8.195762036363636
Scenario1-129-20250707-22:31:55-966653,56557273.0,8226512.4363636365,8.226512436363636
Scenario1-140-20250707-22:31:58-966737,57959324.0,8430447.127272727,8.430447127272727
Scenario1-150-20250707-22:32:01-966799,57843231.0,8413560.872727273,8.413560872727272
Scenario1-151-20250707-22:32:02-966808,57932421.0,8426533.963636363,8.426533963636363
Scenario1-152-20250707-22:32:02-966813,58054306.0,8444262.690909091,8.444262690909092
Scenario1-153-20250707-22:32:02-966829,57872938.0,8417881.89090909,8.41788189090909
Scenario1-154-20250707-22:32:03-966834,57927883.0,8425873.89090909,8.42587389090909
Scenario1-155-20250707-22:32:03-966839,58021262.0,8439456.290909091,8.43945629090909
Scenario1-156-20250707-22:32:04-966844,58016588.0,8438776.436363636,8.438776436363636
Scenario1-157-20250707-22:32:04-966852,58065719.0,8445922.763636364,8.445922763636364
Scenario1-158-20250707-22:32:04-966869,57855888.0,8415401.89090909,8.415401890909092
Scenario1-159-20250707-22:32:05-966874,57812528.0,8409094.981818182,8.409094981818182
Scenario1-141-20250707-22:31:58-966742,57927255.0,8425782.545454545,8.425782545454545
Scenario1-142-20250707-22:31:58-966743,58223863.0,8468925.527272727,8.468925527272727
Scenario1-143-20250707-22:31:59-966755,58184060.0,8463136.0,8.463136
Scenario1-144-20250707-22:31:59-966760,57860273.0,8416039.709090909,8.416039709090908
Scenario1-145-20250707-22:31:59-966765,57719723.0,8395596.072727272,8.395596072727272
Scenario1-146-20250707-22:32:00-966782,57961525.0,8430767.272727273,8.430767272727273
Scenario1-147-20250707-22:32:00-966787,58166076.0,8460520.145454545,8.460520145454545
Scenario1-148-20250707-22:32:01-966793,57804492.0,8407926.10909091,8.407926109090909
Scenario1-149-20250707-22:32:01-966798,57695282.0,8392041.018181818,8.392041018181818
Scenario1-160-20250707-22:32:05-966879,57978672.0,8433261.38181818,8.43326138181818
Scenario1-170-20250707-22:32:08-966942,57876407.0,8418386.472727273,8.418386472727272
Scenario1-171-20250707-22:32:09-966959,57974949.0,8432719.854545455,8.432719854545455
Scenario1-172-20250707-22:32:09-966967,58070250.0,8446581.818181818,8.446581818181818
Scenario1-173-20250707-22:32:10-966972,57857323.0,8415610.61818182,8.41561061818182
Scenario1-174-20250707-22:32:10-966988,57901259.0,8422001.309090909,8.42200130909091
Scenario1-175-20250707-22:32:10-966989,58028996.0,8440581.236363636,8.440581236363636
Scenario1-176-20250707-22:32:11-966999,58033415.0,8441224.0,8.441224
Scenario1-177-20250707-22:32:11-967004,58082060.0,8448299.636363637,8.448299636363636
Scenario1-178-20250707-22:32:11-967009,57842807.0,8413499.2,8.413499199999999
Scenario1-179-20250707-22:32:12-967014,57851610.0,8414779.636363637,8.414779636363637
Scenario1-161-20250707-22:32:05-966884,58008365.0,8437580.363636363,8.437580363636362
Scenario1-162-20250707-22:32:06-966901,58233215.0,8470285.818181818,8.470285818181818
Scenario1-163-20250707-22:32:06-966906,58177432.0,8462171.927272728,8.462171927272728
Scenario1-164-20250707-22:32:06-966911,57882454.0,8419266.036363637,8.419266036363638
Scenario1-165-20250707-22:32:07-966916,57717166.0,8395224.145454545,8.395224145454545
Scenario1-166-20250707-22:32:07-966921,57932068.0,8426482.61818182,8.426482618181819
Scenario1-167-20250707-22:32:07-966927,58193897.0,8464566.836363636,8.464566836363636
Scenario1-168-20250707-22:32:07-966928,57776045.0,8403788.363636363,8.403788363636364
Scenario1-169-20250707-22:32:07-966929,57687955.0,8390975.272727273,8.390975272727273
Scenario1-180-20250707-22:32:12-967018,57961702.0,8430793.018181818,8.430793018181818
Scenario1-190-20250707-22:32:17-967109,57895609.0,8421179.49090909,8.42117949090909
Scenario1-191-20250707-22:32:18-967118,57904596.0,8422486.690909091,8.422486690909091
Scenario1-192-20250707-22:32:18-967134,58034713.0,8441412.8,8.4414128
Scenario1-193-20250707-22:32:20-967153,57945529.0,8428440.581818182,8.428440581818181
Scenario1-194-20250707-22:32:21-967159,57938911.0,8427477.963636363,8.427477963636363
Scenario1-195-20250707-22:32:21-967164,58014358.0,8438452.072727272,8.438452072727273
Scenario1-196-20250707-22:32:21-967169,58032796.0,8441133.963636363,8.441133963636362
Scenario1-197-20250707-22:32:21-967174,58066688.0,8446063.709090909,8.44606370909091
Scenario1-198-20250707-22:32:22-967179,57807783.0,8408404.8,8.408404800000001
Scenario1-199-20250707-22:32:22-967180,57825972.0,8411050.472727273,8.411050472727272
Scenario1-181-20250707-22:32:13-967038,57939500.0,8427563.636363637,8.427563636363637
Scenario1-182-20250707-22:32:13-967043,58282968.0,8477522.61818182,8.477522618181819
Scenario1-183-20250707-22:32:13-967048,58155633.0,8459001.163636364,8.459001163636364
Scenario1-184-20250707-22:32:14-967053,57875710.0,8418285.090909092,8.418285090909091
Scenario1-185-20250707-22:32:14-967068,57713370.0,8394672.0,8.394672
Scenario1-186-20250707-22:32:14-967078,57973190.0,8432464.0,8.432464
Scenario1-187-20250707-22:32:15-967084,58163679.0,8460171.49090909,8.46017149090909
Scenario1-188-20250707-22:32:15-967089,57761463.0,8401667.345454546,8.401667345454547
Scenario1-189-20250707-22:32:17-967108,57679923.0,8389806.981818182,8.389806981818182
