Run,Config,Repetition,Metric,Convergence_Time,Convergence_Value,Unit
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,user_throughput_user_9,10.100000000000001,1.6822435569640353,kbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,system_throughput,10.100000000000001,6.078173370445111,Mbps
WarmupDetection2000Version2-4-20250707-14:00:21-736847,WarmupDetection2000Version2,4,rb_utilization,5.1000000000000005,24.990722388722393,unit
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_0,0.099083124847,0.0005247763042526881,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_1,0.073675337587,0.0005427890213134328,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_2,0.052491539597,0.0005169586317227725,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_3,0.093323357257,0.0005133149878000001,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_4,0.053083702776,0.0005091455062884615,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_5,0.091713698584,0.00046277841900505055,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_6,0.203094860165,0.0004549135355807178,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_7,0.069386853037,0.0004661580745743242,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_8,0.146010682302,0.0005006265887182129,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,inter_arrival_user_9,0.129212056993,0.0005249751099146344,s
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_0,18.6,1.6258035421537818,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_1,16.0,1.621430324632607,kbps
WarmupDetection2000Version2-5-20250707-14:00:21-736848,WarmupDetection2000Version2,5,user_throughput_user_2,16.0,1.6268028090451112,kbps
